rank,position,player,team,Experience,votes,OPOY,DPOY,share,games,starts,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,def_tackles,def_sacks,def_int,def_td,total_td
,LOLB,Von Miller,Denver Broncos,5,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,70,13.5,0,0,0
,SS,Landon Collins,New York Giants,1,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,112.5,4,5,1,1
,DT,Aaron Donald,Los Angeles Rams,2,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,41.5,8,0,0,0
,MLB,Sean Lee,Dallas Cowboys,6,0,No,No,0,15,15,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0
,SS,Eric Berry,Kansas City Chiefs,6,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,69.5,0,4,2,2
1,QB,Tom Brady,New England Patriots,17,40,No,No,0.8,16,16,385,581,4577,32,8,25,28,0,0,0,0,0,0,0,0,32
2,RB,Todd Gurley,Los Angeles Rams,2,8,Yes,No,0.16,15,15,0,0,0,0,0,279,1305,13,64,788,6,0,0,0,0,19
3,QB,Carson Wentz,Philadelphia Eagles,1,2,No,No,0.04,13,13,265,440,3296,33,7,64,299,0,0,0,0,0,0,0,0,33
,WR,Antonio Brown,Pittsburgh Steelers,7,0,No,No,0,14,14,0,0,0,0,0,0,0,0,101,1533,9,0,0,0,0,9
,WR,DeAndre Hopkins,Houston Texans,4,0,No,No,0,15,15,0,0,0,0,0,0,0,0,96,1378,13,0,0,0,0,13
,DE,Aaron Donald,Los Angeles Rams,3,0,No,Yes,0,14,14,0,0,0,0,0,0,0,0,0,0,0,36.5,11,0,0,0
,DE,Calais Campbell,Jacksonville Jaguars,9,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,57,14.5,0,0,0
,LOLB,Chandler Jones,Arizona Cardinals,5,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,55.5,17,0,0,0
,DE,Cameron Jordan,New Orleans Saints,6,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,55,13,1,1,1
,DE,DeMarcus Lawrence,Dallas Cowboys,3,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,46.5,14.5,0,0,0
,CB,Xavier Rhodes,Minnesota Vikings,4,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,50,0,2,0,0
,FS,Harrison Smith,Minnesota Vikings,5,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,69.5,1.5,5,0,0
,MLB,Bobby Wagner,Seattle Seahawks,5,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,115,1.5,2,0,0
1,QB,Patrick Mahomes,Kansas City Chiefs,1,41,Yes,No,0.82,16,16,383,580,5097,50,12,60,272,2,0,0,0,0,0,0,0,52
2,QB,Drew Brees,New Orleans Saints,17,9,No,No,0.18,15,15,364,489,3992,32,5,31,22,4,1,1,0,0,0,0,0,36
,RB,Todd Gurley,Los Angeles Rams,3,0,No,No,0,14,14,0,0,0,0,0,256,1251,17,59,580,4,0,0,0,0,21
,WR,DeAndre Hopkins,Houston Texans,5,0,No,No,0,16,16,0,1,0,0,0,1,-7,0,115,1572,11,0,0,0,0,11
,DT,Aaron Donald,Los Angeles Rams,4,0,No,Yes,0,16,16,0,0,0,0,0,0,0,0,0,0,0,50,20.5,0,0,0
,LOLB,Khalil Mack,Chicago Bears,4,0,No,No,0,14,13,0,0,0,0,0,0,0,0,0,0,0,42,12.5,1,1,1
1,QB,Lamar Jackson,Baltimore Ravens,1,50,No,No,1,15,15,265,401,3127,36,6,176,1206,7,0,0,0,0,0,0,0,43
,WR,Michael Thomas,New Orleans Saints,3,0,Yes,No,0,16,15,0,0,0,0,0,1,-9,0,149,1725,9,0,0,0,0,9
,RB,Christian McCaffrey,Carolina Panthers,2,0,No,No,0,16,16,0,2,0,0,0,287,1387,15,116,1005,4,0,0,0,0,19
,QB,Patrick Mahomes,Kansas City Chiefs,2,0,No,No,0,14,14,319,484,4031,26,5,43,218,2,0,0,0,0,0,0,0,28
,QB,Russell Wilson,Seattle Seahawks,7,0,No,No,0,16,16,341,516,4110,31,5,75,342,3,0,0,0,0,0,0,0,34
,CB,Stephon Gilmore,New England Patriots,7,0,No,Yes,0,16,16,0,0,0,0,0,0,0,0,0,0,0,48.5,0,6,2,2
